,Name,Sponsor,City,State,Area,ZIP,Hardiness,address,lon,lat
92,Montrose Botanic Gardens,NA,Montrose,CO,3.5,81401,6b,"Montrose ,  CO",-107.8761738,38.4783198
93,Western Colorado Botanical Gardens,NA,Grand Junction,CO,12,81501,7a,"Grand Junction ,  CO",-108.5506486,39.0638705
94,Richard Haley Wildlife Gardens,NA,Hampton,CT,1.5,6247,6a,"Hampton ,  CT",-72.0547977,41.7839873
95,EEB Biodiversity Education & Research Greenhouses,University of Connecticut,Storrs,CT,NA,6268,6a,"Storrs ,  CT",-72.2495231,41.8084314
96,Hartford Botanical Garden,NA,Hartford,CT,18,6101,6b,"Hartford ,  CT",-72.6733723,41.7658043
97,New Canaan Nature Center,NA,New Canaan,CT,40,6840,6b,"New Canaan ,  CT",-73.4948445,41.146763
98,Connecticut College Arboretum,Connecticut College,New London,CT,750,6320,6b,"New London ,  CT",-72.0995209,41.3556539
99,Highstead Arboretum,NA,Redding,CT,36,6896,6b,"Redding ,  CT",-73.392898,41.3045399
100,Dinosaur State Park and Arboretum,NA,Rocky Hill,CT,80,6067,6b,"Rocky Hill ,  CT",-72.6655757,41.6572525
101,Harkness Memorial State Park,NA,Waterford,CT,304,6385,6b,"Waterford ,  CT",-72.164816,41.3542395
102,Edgerton Park Conservancy,NA,New Haven,CT,20,6501,7a,"New Haven ,  CT",-72.9278835,41.308274
103,Marsh Botanical Garden,Yale University,New Haven,CT,8,6501,7a,"New Haven ,  CT",-72.9278835,41.308274
104,Bartlett Arboretum and Gardens,NA,Stamford,CT,93,6901,7a,"Stamford ,  CT",-73.5387341,41.0534302
105,Dumbarton Oaks,Harvard University,Washington,DC,54,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
106,Franciscan Monastery gardens,NA,Washington,DC,44,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
107,Hillwood Museum & Gardens,NA,Washington,DC,25,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
108,Kenilworth Park and Aquatic Gardens,National Park Service,Washington,DC,700,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
109,Smithsonian Gardens,Smithsonian Institution,Washington,DC,180,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
110,The American University Arboretum and Gardens,American University,Washington,DC,NA,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
111,Tudor Place,NA,Washington,DC,5.5,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
112,United States Botanic Garden,United States Capitol,Washington,DC,NA,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
113,United States National Arboretum,Agricultural Research Service,Washington,DC,446,20373,7b,"Washington ,  DC",-77.0368707,38.9071923
114,Hagley Museum and Library,NA,Greenville,DE,235,19807,7a,"Greenville ,  DE",-75.5982599,39.7790012
115,Mt. Cuba Center,NA,Hockessin,DE,7.4,19707,7a,"Hockessin ,  DE",-75.6966001,39.7876112
116,University of Delaware Botanic Gardens,University of Delaware,Newark,DE,NA,19702,7a,"Newark ,  DE",-75.7496572,39.6837226
117,Delaware Center for Horticulture,NA,Wilmington,DE,NA,19801,7a,"Wilmington ,  DE",-75.5483909,39.744655
118,Nemours Mansion and Gardens,NA,Wilmington,DE,300,19801,7a,"Wilmington ,  DE",-75.5483909,39.744655
119,Winterthur Museum and Grounds,NA,Winterthur,DE,979,19735,7a,"Winterthur ,  DE",-75.6037351,39.8088766
120,Edison and Ford Winter Estates,NA,Fort Myers,FL,21,33901,10a,"Fort Myers ,  FL",-81.8723084,26.640628
121,Heathcote Botanical Gardens,NA,Fort Pierce,FL,5,34945,10a,"Fort Pierce ,  FL",-80.3256056,27.4467056
122,The Florida Botanical Gardens,NA,Largo,FL,30,33770,10a,"Largo ,  FL",-82.7873244,27.9094665
123,Naples Botanical Garden,NA,Naples,FL,170,34101,10a,"Naples ,  FL",-81.7948103,26.1420358
124,Sunken Gardens,NA,St. Petersburg,FL,4,33701,10a,"St. Petersburg ,  FL",-82.6402915,27.7676008
125,Tropical Ranch Botanical Garden,NA,Stuart,FL,NA,34994,10a,"Stuart ,  FL",-80.2528257,27.197548
126,McKee Botanical Garden,NA,Vero Beach,FL,80,32960,10a,"Vero Beach ,  FL",-80.3972736,27.6386434
127,Fairchild Tropical Botanic Garden,NA,Coral Gables,FL,83,33114,10b,"Coral Gables ,  FL",-80.2635411,25.7491968
128,John C. Gifford Arboretum,University of Miami,Coral Gables,FL,9,33114,10b,"Coral Gables ,  FL",-80.2635411,25.7491968
129,Montgomery Botanical Center,NA,Coral Gables,FL,120,33114,10b,"Coral Gables ,  FL",-80.2635411,25.7491968
130,Flamingo Gardens,NA,Davie,FL,60,33024,10b,"Davie ,  FL",-80.2521157,26.0764783
131,Deerfield Beach Arboretum,NA,Deerfield Beach,FL,9,33064,10b,"Deerfield Beach ,  FL",-80.0997657,26.3184123
132,American Orchid Society Visitor Center and Botanical Garden,American Orchid Society,Delray Beach,FL,3.5,33444,10b,"Delray Beach ,  FL",-80.0728201,26.4614625
133,Morikami Museum and Japanese Gardens,NA,Delray Beach,FL,188.5,33444,10b,"Delray Beach ,  FL",-80.0728201,26.4614625
134,Roji-en Japanese Gardens,Morikami Museum and Japanese Gardens,Delray Beach,FL,16,33444,10b,"Delray Beach ,  FL",-80.0728201,26.4614625
135,Fruit and Spice Park,NA,Homestead,FL,37,33030,10b,"Homestead ,  FL",-80.4775569,25.4687224
136,The Kampong,National Tropical Botanical Garden,Miami,FL,9,33010,10b,"Miami ,  FL",-80.1917902,25.7616798
137,Vizcaya Museum and Gardens,NA,Miami,FL,43,33010,10b,"Miami ,  FL",-80.1917902,25.7616798
138,Four Arts Gardens,NA,Palm Beach,FL,NA,33480,10b,"Palm Beach ,  FL",-80.0364297,26.7056206
139,Unbelievable Acres Botanic Gardens,NA,Palm Beach,FL,2.5,33480,10b,"Palm Beach ,  FL",-80.0364297,26.7056206
140,Mounts Botanical Garden,NA,West Palm Beach,FL,14,33401,10b,"West Palm Beach ,  FL",-80.0533746,26.7153424
141,Botanic Gardens at Kona Kai Resort,NA,Key Largo,FL,NA,33037,11a,"Key Largo ,  FL",-80.4472802,25.0865151
142,Miami Beach Botanical Garden,NA,Miami Beach,FL,2.6,33109,11a,"Miami Beach ,  FL",-80.1300455,25.790654
143,Key West Botanical Forest and Garden,NA,Key West,FL,11,33040,11b,"Key West ,  FL",-81.7799871,24.5550593
144,Alfred B. Maclay State Gardens,NA,Tallahassee,FL,1176,32301,8b,"Tallahassee ,  FL",-84.2807329,30.4382559
145,Kanapaha Botanical Gardens,NA,Gainesville,FL,33,32601,9a,"Gainesville ,  FL",-82.3248262,29.6516344
146,Cummer Museum of Art and Gardens,NA,Jacksonville,FL,2.5,32099,9a,"Jacksonville ,  FL",-81.655651,30.3321838
147,Jacksonville Arboretum & Gardens,NA,Jacksonville,FL,127,32099,9a,"Jacksonville ,  FL",-81.655651,30.3321838
148,Jacksonville Zoo and Gardens,NA,Jacksonville,FL,117,32099,9a,"Jacksonville ,  FL",-81.655651,30.3321838
149,Palm and Cycad Arboretum,Florida Community College,Jacksonville,FL,3,32099,9a,"Jacksonville ,  FL",-81.655651,30.3321838
150,Tree Hill Nature Center,NA,Jacksonville,FL,31,32099,9a,"Jacksonville ,  FL",-81.655651,30.3321838
151,Nature Coast Botanical Gardens,NA,Spring Hill,FL,3.5,34604,9a,"Spring Hill ,  FL",-82.5369872,28.4831682
152,Palma Sola Botanical Park,NA,Bradenton,FL,10,34201,9b,"Bradenton ,  FL",-82.5748194,27.4989278
153,Bok Tower Gardens,NA,Lake Wales,FL,250,33853,9b,"Lake Wales ,  FL",-81.5859099,27.9014133
154,Florida Institute of Technology Botanical Garden,Florida Institute of Technology,Melbourne,FL,15,32901,9b,"Melbourne ,  FL",-80.6081089,28.0836269
155,Arboretum of the University of Central Florida,University of Central Florida,Orlando,FL,80,32801,9b,"Orlando ,  FL",-81.3792365,28.5383355
156,Harry P. Leu Gardens,NA,Orlando,FL,50,32801,9b,"Orlando ,  FL",-81.3792365,28.5383355
157,Ormond Memorial Art Museum and Gardens,NA,Ormond Beach,FL,2.5,32173,9b,"Ormond Beach ,  FL",-81.0558894,29.2858129
158,Marie Selby Botanical Gardens,NA,Sarasota,FL,15,34230,9b,"Sarasota ,  FL",-82.5306527,27.3364347
159,Sarasota Jungle Gardens,NA,Sarasota,FL,10,34230,9b,"Sarasota ,  FL",-82.5306527,27.3364347
160,University of South Florida Botanical Gardens,University of South Florida,Tampa,FL,15,33601,9b,"Tampa ,  FL",-82.4571776,27.950575
161,Cypress Gardens,NA,Winter Haven,FL,NA,33880,9b,"Winter Haven ,  FL",-81.7328567,28.0222435
